issue_or_pr	repository	state	exact_fixing_commit	affected_version	lifecycle_stage	source_route	target_route	control_plane_symptom	data_plane_symptom	physical_consequence	root_cause	existing_detection	candidate_oracle	relevance_to_locked_commit	status
https://github.com/PX4/PX4-Autopilot/issues/19005	PX4/PX4-Autopilot	closed stale	unknown	reported in 2022; reporter version not pinned	offboard exit to RTL	Offboard trajectory	PX4 RTL	RTL nav state selected while reporter believed Offboard input still active	reported trajectory setpoints continued affecting position control	instability and failure to disarm were reported	unconfirmed from issue; no fixing PR linked	manual flight observation and logs	revocation plus post-revocation consumption	No exact reproducing/fixing commit; the locked commit cannot be classified from issue state alone.	unable to confirm
https://github.com/PX4/PX4-Autopilot/issues/25707	PX4/PX4-Autopilot	closed as unsupported combination	dce6c1f2e4a29e947fd32a84c4981773f1962c03 in interface library	PX4 main around 2025-10; interface library before PR 160	replacement/executor ownership	internal RTL intention	owned external RTL replacement	replacement mode selected but executor remains AUTOPILOT; scheduling can oscillate	owned executor cannot establish a supported setpoint route	potential repeated mode switching	mode intention identifies the internal mode's executor; failsafe/executor layering does not support the combination	interface assertion prevents configuration	not-applicable/design guard plus installation oracle	Locked interface contains PR 160 and rejects this combination.	design semantics; fixed guard in locked version
https://github.com/Auterion/px4-ros2-interface-lib/pull/175	Auterion/px4-ros2-interface-lib	merged	2af3c2d0a6d7444a0fb0a04ccab3f63b770b4485	interface library before 2025-12-18	unregister before shutdown	registered external mode	unregistered/no external route	Ctrl+C shutdown occurred before unregister publication	PX4 retained the registered component slot	stale registration could block clean re-entry or reuse a mode slot	ROS shutdown order prevented publisher use during destruction	unregister topic observation	control-plane unregister/slot-removal oracle	Locked commit c3e410f descends from the fix; P0-D observed one unregister request.	locked version already fixed
https://github.com/Auterion/px4-ros2-interface-lib/issues/206 and https://github.com/Auterion/px4-ros2-interface-lib/pull/207	Auterion/px4-ros2-interface-lib	closed/merged	c6a0f7427c2da4675f3b39efc7ddcb067311b1ed	new PX4 with interface library before 2026-06-15	setpoint configuration/activation	registered external rates mode	active external rates route	mode registered and active but PX4 rejected the intended setpoint type	rates setpoints were not applied as intended	loss of intended control response	first setpoint type was marked active during registration, so its configuration predated mode activation	integration test and PX4 rejection	installation: activation then fresh setpoint configuration/consumption	Locked commit includes c6a0f7 and subsequent setpoint-type changes.	locked version already fixed
https://github.com/Auterion/px4-ros2-interface-lib/issues/195	Auterion/px4-ros2-interface-lib	open	none	365dd880 and later through locked c3e410f unless separately fixed	health/arming-check timeout	registered External Mode health provider	PX4 internal/no registered route	watchdog timer throws an exception that application code cannot catch	setpoint/lifecycle process can terminate without an application recovery path	companion process crash and forced route loss	exception is thrown inside watchdog callback	exception/crash log only	recovery after process loss; unregister and fallback installation	Issue remains open and implicated code lineage precedes locked commit; P0-D also observed an uncaught timeout exception during teardown, without proving the same root cause.	locked version still affected or unable to exclude
https://github.com/Auterion/px4-ros2-interface-lib/issues/167	Auterion/px4-ros2-interface-lib	open	none	interface library around 2025-11 and later	executor mode scheduling	currently active executor-owned mode	another scheduled mode	mode executor crashes when scheduling while the actual owned mode is still active	new target route is not installed	loss of external flight manager; PX4 fallback depends on configuration	outstanding scheduling/lifecycle race described by reporter	process crash and command result	exclusivity plus installation/recovery	Open after the locked commit's ancestry; no fixing commit found.	locked version still exists or unable to confirm
https://github.com/Auterion/px4-ros2-interface-lib/issues/162	Auterion/px4-ros2-interface-lib	open	none	PX4 1.16 and interface library 2025-10	replacement/executor ownership	internal RTL	custom RTL replacement owned by executor	executor activation/ownership conflicts with internal replacement intention	target custom RTL cannot reliably run its intended sequence	RTL behavior differs from requested custom recovery	unsupported combination documented in PX4 issue 25707	design restriction and PR 160 assertion	not-applicable/design guard	Locked interface prevents an executor from owning a replacement mode; no runtime test should attempt it.	design semantics
https://github.com/Auterion/px4-ros2-interface-lib/issues/201	Auterion/px4-ros2-interface-lib	open	none	waitForFMU split introduced by commit 84a1c4d; persistent Agent across PX4 boots	registration/re-entry	stale prior PX4 discovery endpoint	new PX4 registration	waitForFMU accepts a stale discovery endpoint after reboot	registration request/reply can target no live FMU	mode registration test failure or unavailable external route	XRCE-DDS Agent retains discovery state across PX4 instances	integration tests with persistent Agent	registration freshness and boot-identity oracle	Locked commit postdates issue creation, but no closing fix was identified.	unable to confirm
https://github.com/Auterion/px4-ros2-interface-lib/commit/7b0cc05ceec03975d081ee5c1819b3127446ce41	Auterion/px4-ros2-interface-lib	committed	7b0cc05ceec03975d081ee5c1819b3127446ce41	interface library before 2023-12-06	executor/disarm restoration	executor-owned external mode	disarmed state	executor could reactivate while disarmed	callbacks/setpoint lifecycle could restart despite disarm	unexpected post-disarm ownership semantics	missing disarmed guard in executor reactivation	integration test/commit regression test	recovery and post-disarm re-entry oracle	Locked commit includes the guard; P0-D still observes nav-state retention, which is not equivalent to reactivation.	historical problem fixed in locked version
https://github.com/Auterion/px4-ros2-interface-lib/pull/47	Auterion/px4-ros2-interface-lib	merged	bfebd82f64783b274bcaf702aae911465f6e9080	interface library before 2024-07-22	registration startup	no external mode	registered External Mode	compatibility check could run before delayed FMU discovery and time out	no setpoint route installed	External Mode unavailable at startup	registration preceded a reliable FMU availability check	startup timeout	target registration/installation oracle	Locked commit includes this fix.	historical problem fixed in locked version
https://github.com/Auterion/px4-ros2-interface-lib/commit/5379b0a10ff58ea0452209a97f5ea270cc92d030	Auterion/px4-ros2-interface-lib	committed	5379b0a10ff58ea0452209a97f5ea270cc92d030	interface library before 2025-08-20	registration validity/re-entry	registered mode health provider	current PX4 route	arming checks could proceed after registration was no longer valid	stale provider state could be treated as current	arming decision could use stale external health state	registration validity was not rechecked	health/arming request handling	registration validity and recovery oracle	Locked commit includes the validity check.	historical problem fixed in locked version
https://github.com/Auterion/px4-ros2-interface-lib/pull/209	Auterion/px4-ros2-interface-lib	merged	c3e410f035806e8c56246708432ded09c976434b	interface library/PX4 main coordinated change in 2026-06	setpoint contract installation	registered external route	registered external route with explicit setpoint types	VehicleControlMode-derived configuration was replaced with explicit setpoint-type contract	wrong or stale setpoint configuration is rejected rather than silently inferred	mode activation failure if PX4 and library revisions do not match	cross-repository protocol change	message compatibility and integration tests	installation checks for setpoint configuration and fresh consumption	The dependency lock pins exactly this interface merge and matching audited PX4/px4_msgs heads.	locked version design semantics
